symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
PRIZOR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:24:06,https://nsearchives.nseindia.com/corporate/PRIZOR_09042025121318_NSE_Letter.pdf,Prizor Viztech Limited,nan,09-Apr-2025 12:24:06,2025-04-09 12:24:06,nan,nan,nan,"Prizor Viztech Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:24:06,00:00:00
PASHUPATI,Copy of Newspaper Publication,09-Apr-2025 12:22:22,https://nsearchives.nseindia.com/corporate/PASHUPATI_09042025122006_Covering_NP_SD.pdf,Pashupati Cotspin Limited,nan,09-Apr-2025 12:22:22,2025-04-09 12:22:22,nan,nan,nan,Pashupati Cotspin Limited has informed the Exchange about Copy of Newspaper Publication,nan,nan,nan,09-Apr-2025 12:22:22,00:00:00
SHIGAN,Updates,09-Apr-2025 12:17:34,https://nsearchives.nseindia.com/corporate/SQT_09042025121501_REG13.pdf,Shigan Quantum Technologies Limited,nan,09-Apr-2025 12:17:34,2025-04-09 12:17:34,nan,nan,nan,"Shigan Quantum Technologies Limited has informed the Exchange regarding 'Submission under Regulation 13(3) of SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015 for the quarter ended on 31st March, 2025",nan,nan,nan,09-Apr-2025 12:17:34,00:00:00
SERVICE,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:14:18,https://nsearchives.nseindia.com/corporate/SERVICECARE_09042025121408_Reg_74_5__SBI_NSE_filing_March_25_.pdf,Service Care Limited,nan,09-Apr-2025 12:14:18,2025-04-09 12:14:18,nan,nan,nan,"Service Care Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:14:18,00:00:00
ZTECH,Updates,09-Apr-2025 12:10:49,https://nsearchives.nseindia.com/corporate/ZTECH_09042025120747_Intimation_In_principle.pdf,Z-Tech (India) Limited,nan,09-Apr-2025 12:10:49,2025-04-09 12:10:49,nan,nan,nan,"'Z-Tech (India) Limited has informed the Exchange regarding receipt of the In-Principle approval from National Stock Exchange of India Limited for listing of 15,33,000 equity shares of Rs. 10/- each allotted on 14.03.2025 on preferential basis.'.",nan,nan,nan,09-Apr-2025 12:10:49,00:00:00
PRESSTONIC,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,09-Apr-2025 12:10:11,https://nsearchives.nseindia.com/corporate/PRESSTONIC_09042025120900_NonApplicabilityofCorporateGovernancePresstonic.pdf,Presstonic Engineering Limited,nan,09-Apr-2025 12:10:11,2025-04-09 12:10:11,nan,nan,nan,Presstonic Engineering Limited has informed regarding Submission of the Compliance Report on Corporate Governance for the Q_ FY 20__-__,nan,nan,nan,09-Apr-2025 12:10:11,00:00:00
APS,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:05:39,https://nsearchives.nseindia.com/corporate/APS_09042025120529_Confirmationcertificate.pdf,Australian Premium Solar (India) Limited,nan,09-Apr-2025 12:05:39,2025-04-09 12:05:39,nan,nan,nan,"Australian Premium Solar (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:05:40,00:00:01
CGRAPHICS,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 11:42:04,https://nsearchives.nseindia.com/corporate/CREATIVEGRAPHICS_09042025114156_Reg745march2025.pdf,Creative Graphics Solutions India Limited,nan,09-Apr-2025 11:42:04,2025-04-09 11:42:04,nan,nan,nan,"Creative Graphics Solutions India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 11:42:04,00:00:00
ENSER,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 11:36:13,https://nsearchives.nseindia.com/corporate/ENSER06_09042025113555_Regulation_74_5_signed.pdf,Enser Communications Limited,nan,09-Apr-2025 11:36:13,2025-04-09 11:36:13,nan,nan,nan,"Enser Communications Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 11:36:13,00:00:00
MIEL,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,09-Apr-2025 11:26:34,https://nsearchives.nseindia.com/corporate/MANGLAMINFRA_09042025112513_Non_applicability_of_CG_report.pdf,Manglam Infra & Engineering Limited,nan,09-Apr-2025 11:26:34,2025-04-09 11:26:34,nan,nan,nan,"Manglam Infra & Engineering Limited has informed regarding Non-applicability of the compliance report on corporate governance under Regulation 27 (2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulation, 2015 for the quarter ended on March 31, 2025",nan,nan,nan,09-Apr-2025 11:26:34,00:00:00
SIDDHIKA,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 11:13:26,https://nsearchives.nseindia.com/corporate/Siddhika_09042025111307_SCRA.pdf,Siddhika Coatings Limited,nan,09-Apr-2025 11:13:26,2025-04-09 11:13:26,nan,nan,nan,"Siddhika Coatings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 11:13:26,00:00:00
ZTECH,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 10:40:47,https://nsearchives.nseindia.com/corporate/ZTECH_09042025103956_Certificate_under_Regulation_74_5_.pdf,Z-Tech (India) Limited,nan,09-Apr-2025 10:40:47,2025-04-09 10:40:47,nan,nan,nan,"Z-Tech (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 10:40:47,00:00:00
NPST,Updates,09-Apr-2025 10:24:39,https://nsearchives.nseindia.com/corporate/NPST_09042025102430_NSE_Intimation_09042025_BSE_inprinciple_approval_dated_08042025_signed.pdf,Network People Services Technologies Limited,nan,09-Apr-2025 10:24:39,2025-04-09 10:24:39,nan,nan,nan,"Network People Services Technologies Limited has informed the Exchange regarding 'Intimation of receipt of the In-principle approval from BSE Limited for listing of Equity Shares from NSE Emerge to BSE mainboard of the Exchange through Direct Listing under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",nan,nan,nan,09-Apr-2025 10:24:40,00:00:01
QFIL,Related Party Transactions,09-Apr-2025 09:51:54,https://nsearchives.nseindia.com/corporate/QUALITYFOILS_09042025095141_Intimation.pdf,Quality Foils (India) Limited,nan,09-Apr-2025 09:51:54,2025-04-09 09:51:54,nan,nan,nan,Quality Foils (India) Limited has informed the Exchange about related Party Transactions,nan,nan,nan,09-Apr-2025 09:51:55,00:00:01
DELTIC,Updates,09-Apr-2025 09:49:08,https://nsearchives.nseindia.com/corporate/DELTIC_09042025094853_Intimation_of_Bihar_Expo__signed.pdf,Delta Autocorp Limited,nan,09-Apr-2025 09:49:08,2025-04-09 09:49:08,nan,nan,nan,Delta Autocorp Limited has informed the Exchange regarding 'Participation in Bihar Expo 2025'.,nan,nan,nan,09-Apr-2025 09:49:09,00:00:01
FRESHARA,Analysts/Institutional Investor Meet/Con. Call Updates,09-Apr-2025 09:35:37,https://nsearchives.nseindia.com/corporate/FRESHARA_09042025093339_NSEIntimation_outcome.pdf,Freshara Agro Exports Limited,nan,09-Apr-2025 09:35:37,2025-04-09 09:35:37,nan,nan,nan,Freshara Agro Exports Limited has informed the Exchange about Outcome of Analyst/Investor Meeting,nan,nan,nan,09-Apr-2025 09:35:37,00:00:00
BHALCHANDR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",08-Apr-2025 12:45:28,https://nsearchives.nseindia.com/corporate/BHALCHANDR_08042025124516_74_5_.pdf,Bhalchandram Clothing Limited,nan,08-Apr-2025 12:45:28,2025-04-08 12:45:28,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,08-Apr-2025 12:45:28,00:00:00
BDR,Integrated Filing- Governance,07-Apr-2025 17:04:40,https://nsearchives.nseindia.com/corporate/BDR01_07042025170218_IMG_0006_merged.pdf,BDR Buildcon Limited,nan,07-Apr-2025 17:04:40,2025-04-07 17:04:40,nan,nan,nan,"BDR Buildcon Ltd. has submitted Integrated filing for Quarter ended on 31st March, 2025.",nan,nan,nan,07-Apr-2025 17:04:41,00:00:01
BDR,Updates,07-Apr-2025 16:58:25,https://nsearchives.nseindia.com/corporate/BDR01_07042025165733_IMG_0007.pdf,BDR Buildcon Limited,nan,07-Apr-2025 16:58:25,2025-04-07 16:58:25,nan,nan,nan,"BDR Buildcon Limited has informed the Exchange regarding 'Submission under Regulation 27(2)(ba) of SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015 for the quarter ended on 31st March, 2025'.",nan,nan,nan,07-Apr-2025 16:58:26,00:00:01
BDR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",07-Apr-2025 16:07:45,https://nsearchives.nseindia.com/corporate/BDR01_07042025160732_BDR_BUILDCON_LTD-3.pdf,BDR Buildcon Limited,nan,07-Apr-2025 16:07:45,2025-04-07 16:07:45,nan,nan,nan,"BDR Buildcon Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,07-Apr-2025 16:07:46,00:00:01
BDR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",07-Apr-2025 16:05:29,https://nsearchives.nseindia.com/corporate/BDR01_07042025160428_IMG_0006_merged.pdf,BDR Buildcon Limited,nan,07-Apr-2025 16:05:29,2025-04-07 16:05:29,nan,nan,nan,"BDR Buildcon Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,07-Apr-2025 16:05:30,00:00:01
BDR,Disclosure of Unitholding pattern,07-Apr-2025 16:01:11,https://nsearchives.nseindia.com/corporate/BDR01_07042025160031_SHP_REPORT_merged.pdf,BDR Buildcon Limited,nan,07-Apr-2025 16:01:11,2025-04-07 16:01:11,nan,nan,nan,BDR Buildcon Limited has informed regarding Unitholding pattern for Q4 FY 2024-25,nan,nan,nan,07-Apr-2025 16:01:12,00:00:01
GIRRESORTS,Suspension of Trading,05-Mar-2025 18:59:59,nan,GIR Natureview Resorts Limited,nan,05-Mar-2025 18:59:59,2025-03-05 18:59:59,nan,nan,nan,"Members of the Exchange are hereby informed that the trading in equity shares of GIR Natureview Resorts Limited shall be suspended with effect from March 06, 2025, in accordance with NSE Circular dated March 05, 2025, vide reference no. NSE/CML/66976.",nan,nan,nan,05-Mar-2025 18:59:59,00:00:00
3RDROCK,Suspension of Trading,05-Mar-2025 18:59:53,nan,3rd Rock Multimedia Limited,nan,05-Mar-2025 18:59:53,2025-03-05 18:59:53,nan,nan,nan,"Members of the Exchange are hereby informed that the trading in equity shares of 3rd Rock Multimedia Limited shall be suspended with effect from March 06, 2025, in accordance with NSE Circular dated March 05, 2025, vide reference no. NSE/CML/66976.",nan,nan,nan,05-Mar-2025 18:59:54,00:00:01
BHALCHANDR,Disclosure under SEBI Takeover Regulations,04-Apr-2025 18:25:46,https://nsearchives.nseindia.com/corporate/team_sandeshc_03042025124049_Annual5.pdf,Bhalchandram Clothing Limited,nan,04-Apr-2025 18:25:46,2025-04-04 18:25:46,nan,nan,nan,"Umesh Lahoti has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",nan,nan,nan,04-Apr-2025 18:25:47,00:00:01
BDR,Trading Window-XBRL,02-Apr-2025 10:09:41,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1407327_02042025100940_WEB.xml,BDR Buildcon Limited,nan,02-Apr-2025 10:09:41,2025-04-02 10:09:41,nan,nan,nan,BDR BUILDCON LIMITED has informed the Exchange about Closure of Trading Window,nan,nan,nan,02-Apr-2025 10:09:42,00:00:01
BDR,Trading Window,01-Apr-2025 17:22:44,https://nsearchives.nseindia.com/corporate/BDR01_01042025172231_IMG_0001.pdf,BDR Buildcon Limited,nan,01-Apr-2025 17:22:44,2025-04-01 17:22:44,nan,nan,nan,"BDR Buildcon Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",nan,nan,nan,01-Apr-2025 17:22:45,00:00:01
ABNINT,Trading Window-XBRL,01-Apr-2025 16:58:52,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1407017_01042025045851_WEB.xml,A B N Intercorp Limited,nan,01-Apr-2025 16:58:52,2025-04-01 16:58:52,nan,nan,nan,A B N INTERCORP LIMITED has informed the Exchange about Closure of Trading Window,nan,nan,nan,01-Apr-2025 16:58:53,00:00:01
ABNINT,Trading Window,01-Apr-2025 16:50:45,https://nsearchives.nseindia.com/corporate/ABNINT_01042025164746_ABNTradingwindowClosure.pdf,A B N Intercorp Limited,nan,01-Apr-2025 16:50:45,2025-04-01 16:50:45,nan,nan,nan,"A B N Intercorp Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",nan,nan,nan,01-Apr-2025 16:50:46,00:00:01
symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
BHALCHANDR,Trading Window,28-Mar-2025 11:10:31,https://nsearchives.nseindia.com/corporate/BHALCHANDR_28032025111022_Closure.pdf,Bhalchandram Clothing Limited,nan,28-Mar-2025 11:10:31,2025-03-28 11:10:31,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",nan,nan,nan,28-Mar-2025 11:10:32,00:00:01
BHALCHANDR,Trading Window-XBRL,27-Mar-2025 12:47:45,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1403200_27032025124744_WEB.xml,Bhalchandram Clothing Limited,nan,27-Mar-2025 12:47:45,2025-03-27 12:47:45,nan,nan,nan,BHALCHANDRAM CLOTHING LIMITED has informed the Exchange about Closure of Trading Window,nan,nan,nan,27-Mar-2025 12:47:46,00:00:01
BHALCHANDR,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,12-Feb-2025 21:03:47,https://nsearchives.nseindia.com/corporate/xbrl/CIM_47455_1380847_12022025090346_WEB.xml,Bhalchandram Clothing Limited,nan,12-Feb-2025 21:03:47,2025-02-12 21:03:47,nan,nan,nan,BHALCHANDRAM CLOTHING LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,nan,nan,nan,12-Feb-2025 21:03:48,00:00:01
BHALCHANDR,Shareholders meeting,12-Feb-2025 20:50:03,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025204725_scrunitizerreport.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:50:03,2025-02-12 20:50:03,nan,nan,nan,"Bhalchandram Clothing Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on February 11, 2025",nan,nan,nan,12-Feb-2025 20:50:05,00:00:02
BHALCHANDR,Cessation,12-Feb-2025 20:11:13,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025200933_Intimation_Signed.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:11:13,2025-02-12 20:11:13,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding Cessation of Mr Prakash Ramchandra Bang as Non- Executive Independent Director of the company w.e.f. February 11, 2025.",nan,nan,nan,12-Feb-2025 20:11:14,00:00:01
BHALCHANDR,Cessation,12-Feb-2025 20:11:13,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025200946_Intimation_Signed.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:11:13,2025-02-12 20:11:13,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding Cessation of  Prakash Ramchandra Bang as Non- Executive Independent Director of the company w.e.f. February 11, 2025.",nan,nan,nan,12-Feb-2025 20:11:14,00:00:01
BDR,Integrated Filing- Governance,12-Feb-2025 11:12:12,https://nsearchives.nseindia.com/corporate/BDR01_12022025111127_IG_Report_IMG_0001_merged__1_.pdf,BDR Buildcon Limited,nan,12-Feb-2025 11:12:12,2025-02-12 11:12:12,nan,nan,nan,Integrated Filing- Governance,nan,nan,nan,12-Feb-2025 11:12:13,00:00:01
JEYYAM,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:46:13,https://nsearchives.nseindia.com/corporate/JEYYAMGLOBAL_09042025124515_Jeyyam_74_5__RTA_certificate_signed.pdf,Jeyyam Global Foods Limited,nan,09-Apr-2025 12:46:13,2025-04-09 12:46:13,nan,nan,nan,"Jeyyam Global Foods Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for quarter ending March 31 2025",nan,nan,nan,09-Apr-2025 12:46:13,00:00:00
KRISHNADEF,Acquisition-XBRL,09-Apr-2025 12:42:19,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1410643_09042025124218_WEB.xml,Krishna Defence and Allied Industries Limited,nan,09-Apr-2025 12:42:19,2025-04-09 12:42:19,nan,nan,nan,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED has informed the Exchange regarding Acquisition,nan,nan,nan,09-Apr-2025 12:42:20,00:00:01
MEGAFLEX,Disclosure under SEBI Takeover Regulations,09-Apr-2025 12:39:26,https://nsearchives.nseindia.com/corporate/team_sandeshc_04042025120015_Annual2.PDF,Mega Flex Plastics Limited,nan,09-Apr-2025 12:39:26,2025-04-09 12:39:26,nan,nan,nan,"Mega Flex Plastics Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",nan,nan,nan,09-Apr-2025 12:39:27,00:00:01
VMARCIND,Disclosure under SEBI Takeover Regulations,09-Apr-2025 12:31:04,https://nsearchives.nseindia.com/corporate/team_sandeshc_04042025110841_VIL.pdf,V Marc India Limited,nan,09-Apr-2025 12:31:04,2025-04-09 12:31:04,nan,nan,nan,"V Marc India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",nan,nan,nan,09-Apr-2025 12:31:04,00:00:00
PRIZOR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:24:06,https://nsearchives.nseindia.com/corporate/PRIZOR_09042025121318_NSE_Letter.pdf,Prizor Viztech Limited,nan,09-Apr-2025 12:24:06,2025-04-09 12:24:06,nan,nan,nan,"Prizor Viztech Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:24:06,00:00:00
PASHUPATI,Copy of Newspaper Publication,09-Apr-2025 12:22:22,https://nsearchives.nseindia.com/corporate/PASHUPATI_09042025122006_Covering_NP_SD.pdf,Pashupati Cotspin Limited,nan,09-Apr-2025 12:22:22,2025-04-09 12:22:22,nan,nan,nan,Pashupati Cotspin Limited has informed the Exchange about Copy of Newspaper Publication,nan,nan,nan,09-Apr-2025 12:22:22,00:00:00
SHIGAN,Updates,09-Apr-2025 12:17:34,https://nsearchives.nseindia.com/corporate/SQT_09042025121501_REG13.pdf,Shigan Quantum Technologies Limited,nan,09-Apr-2025 12:17:34,2025-04-09 12:17:34,nan,nan,nan,"Shigan Quantum Technologies Limited has informed the Exchange regarding 'Submission under Regulation 13(3) of SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015 for the quarter ended on 31st March, 2025",nan,nan,nan,09-Apr-2025 12:17:34,00:00:00
SERVICE,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:14:18,https://nsearchives.nseindia.com/corporate/SERVICECARE_09042025121408_Reg_74_5__SBI_NSE_filing_March_25_.pdf,Service Care Limited,nan,09-Apr-2025 12:14:18,2025-04-09 12:14:18,nan,nan,nan,"Service Care Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:14:18,00:00:00
ZTECH,Updates,09-Apr-2025 12:10:49,https://nsearchives.nseindia.com/corporate/ZTECH_09042025120747_Intimation_In_principle.pdf,Z-Tech (India) Limited,nan,09-Apr-2025 12:10:49,2025-04-09 12:10:49,nan,nan,nan,"'Z-Tech (India) Limited has informed the Exchange regarding receipt of the In-Principle approval from National Stock Exchange of India Limited for listing of 15,33,000 equity shares of Rs. 10/- each allotted on 14.03.2025 on preferential basis.'.",nan,nan,nan,09-Apr-2025 12:10:49,00:00:00
PRESSTONIC,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,09-Apr-2025 12:10:11,https://nsearchives.nseindia.com/corporate/PRESSTONIC_09042025120900_NonApplicabilityofCorporateGovernancePresstonic.pdf,Presstonic Engineering Limited,nan,09-Apr-2025 12:10:11,2025-04-09 12:10:11,nan,nan,nan,Presstonic Engineering Limited has informed regarding Submission of the Compliance Report on Corporate Governance for the Q_ FY 20__-__,nan,nan,nan,09-Apr-2025 12:10:11,00:00:00
APS,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:05:39,https://nsearchives.nseindia.com/corporate/APS_09042025120529_Confirmationcertificate.pdf,Australian Premium Solar (India) Limited,nan,09-Apr-2025 12:05:39,2025-04-09 12:05:39,nan,nan,nan,"Australian Premium Solar (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 12:05:40,00:00:01
CGRAPHICS,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 11:42:04,https://nsearchives.nseindia.com/corporate/CREATIVEGRAPHICS_09042025114156_Reg745march2025.pdf,Creative Graphics Solutions India Limited,nan,09-Apr-2025 11:42:04,2025-04-09 11:42:04,nan,nan,nan,"Creative Graphics Solutions India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 11:42:04,00:00:00
