symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,fileSize
INDIAGLYCO,Updates,04072025211352,https://nsearchives.nseindia.com/corporate/INDIAGLYCO_04072025211338_Reg30Intimation.pdf,India Glycols Limited,INE560A01015,04-Jul-2025 21:13:52,2025-07-04 21:13:52,106290417,Chemicals - Organic,nan,India Glycols Limited has informed the Exchange regarding 'Intimation for receipt of GMP Certification by NSF International for botanical ingredient manufacturing at Dehradun plant'.,nan,nan,nan,04-Jul-2025 21:13:53,00:00:01,311 KB
AFFLE,Updates,04072025210708,https://nsearchives.nseindia.com/corporate/AFFLE_04072025210629_PatentintimationJuly042025.pdf,Affle 3i Limited,INE00WC01019,04-Jul-2025 21:07:08,2025-07-04 21:07:08,106290416,nan,nan,Affle 3i Limited has informed the Exchange regarding 'grant of another patent in India'.,nan,nan,nan,04-Jul-2025 21:07:09,00:00:01,366 KB
MAXHEALTH,Shareholders meeting,04072025210647,https://nsearchives.nseindia.com/corporate/MAXHEALTH_04072025210535_SE_Intimation_AGM_Notice_Annual_Report.pdf,Max Healthcare Institute Limited,INE027H01010,04-Jul-2025 21:06:47,2025-07-04 21:06:47,106290415,nan,nan,"Max Healthcare Institute Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 30, 2025",nan,nan,nan,04-Jul-2025 21:06:47,00:00:00,23.65 MB
TATAPOWER,Shareholders meeting,04072025210646,https://nsearchives.nseindia.com/corporate/VPTPCL_04072025210403_Outcome_final.pdf,Tata Power Company Limited,INE245A01013,04-Jul-2025 21:06:46,2025-07-04 21:06:46,106290414,Power,nan,"Tata Power Company Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 4, 2025. Further, the Company has submitted the Exchange a copy of Srutinizers report along with voting results.",nan,nan,nan,04-Jul-2025 21:06:46,00:00:00,771 KB
NUVAMA,News Verification,04072025210529,https://nsearchives.nseindia.com/corporate/NWML_04072025210424_NSE_Clarification.pdf,Nuvama Wealth Management Limited,INE531F01015,04-Jul-2025 21:05:29,2025-07-04 21:05:29,106290413,nan,nan,The Exchange has sought clarification from Nuvama Wealth Management Limited with respect to recent news item captioned Jane Street effect: Nuvama shares slump 7% after Sebi order. What's the connection?.  The response from the Company is attached.,nan,nan,nan,04-Jul-2025 21:05:30,00:00:01,182 KB
GODIGIT,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,04072025210430,https://nsearchives.nseindia.com/corporate/GODIGIT_04072025210338_GDGIL_Reg_30_Order_GST.pdf,Go Digit General Insurance Limited,INE03JT01014,04-Jul-2025 21:04:30,2025-07-04 21:04:30,106290412,nan,nan,Go Digit General Insurance Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,nan,nan,nan,04-Jul-2025 21:04:31,00:00:01,266 KB
IRIS,Copy of Newspaper Publication,04072025210416,https://nsearchives.nseindia.com/corporate/IRIS_04072025210337_IRIS_NewspaperEGMnotice_signed.pdf,Iris Business Services Limited,INE864K01010,04-Jul-2025 21:04:16,2025-07-04 21:04:16,106290411,nan,nan,IRIS Business Services Limited has informed the Exchange about Copy of Newspaper Publication.,nan,nan,nan,04-Jul-2025 21:04:17,00:00:01,4.16 MB
ABDL,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,04072025210343,https://nsearchives.nseindia.com/corporate/xbrl/CIM_59095_1477606_04072025090342_WEB.xml,Allied Blenders and Distillers Limited,INE552Z01027,04-Jul-2025 21:03:43,2025-07-04 21:03:43,106290410,nan,nan,Allied Blenders And Distillers Limited has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,nan,nan,nan,04-Jul-2025 21:03:44,00:00:01,5 KB
ABDL,Change in Management,04072025205804,https://nsearchives.nseindia.com/corporate/ABDINDIA_04072025205749_SE_Intimation_-_Change_in_SMP_-_CLO_sd.pdf,Allied Blenders and Distillers Limited,INE552Z01027,04-Jul-2025 20:58:04,2025-07-04 20:58:04,106290409,nan,nan,Allied Blenders and Distillers Limited has informed the Exchange about change in Management,nan,nan,nan,04-Jul-2025 20:58:05,00:00:01,825 KB
INDUSINDBK,General Updates,04072025205310,https://nsearchives.nseindia.com/corporate/INDUSINDBK3_04072025205241_SEIntimationKeyNumbers.pdf,IndusInd Bank Limited,INE095A01012,04-Jul-2025 20:53:10,2025-07-04 20:53:10,106290408,Banks,nan,Indusind Bank Limited has informed the Exchange about General Updates,nan,nan,nan,04-Jul-2025 20:53:12,00:00:02,522 KB
INDUSINDBK,Credit Rating,04072025204708,https://nsearchives.nseindia.com/corporate/INDUSINDBK3_04072025204610_CreditRating4072025.pdf,IndusInd Bank Limited,INE095A01012,04-Jul-2025 20:47:08,2025-07-04 20:47:08,106290406,Banks,nan,Indusind Bank Limited has informed the Exchange about Credit Rating,nan,nan,nan,04-Jul-2025 20:47:09,00:00:01,710 KB
DCMSHRIRAM,Incorporation-XBRL,04072025204555,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1477603_04072025084555_WEB.xml,DCM Shriram Limited,INE499A01024,04-Jul-2025 20:45:55,2025-07-04 20:45:55,106290405,nan,nan,DCM SHRIRAM LIMITED has informed the Exchange regarding Incorporation,nan,nan,nan,04-Jul-2025 20:45:56,00:00:01,4 KB
VAKRANGEE,Resignation of Independent director,04072025204450,https://nsearchives.nseindia.com/corporate/VAKRANGEE_ROID_59094_KMP_Doc.zip,Vakrangee Limited,INE051B01021,04-Jul-2025 20:44:50,2025-07-04 20:44:50,106290404,nan,nan,VAKRANGEE LIMITED has informed the Exchange about Resignation of Independent director.,nan,nan,nan,04-Jul-2025 20:44:52,00:00:02,175 KB
DCMSHRIRAM,Incorporation,04072025204420,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_04072025204327_DCMINCORPORATIONOFWOS4JULY2025SIGNED.pdf,DCM Shriram Limited,INE499A01024,04-Jul-2025 20:44:20,2025-07-04 20:44:20,106290403,nan,nan,DCM Shriram Limited has informed the Exchange about Incorporation of a Wholly Owned Subsidiary of a Company.,nan,nan,nan,04-Jul-2025 20:44:21,00:00:01,215 KB
IRIS,Notice Of Shareholders Meetings-XBRL,04072025204229,https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1477600_04072025084228_WEB.xml,Iris Business Services Limited,INE864K01010,04-Jul-2025 20:42:29,2025-07-04 20:42:29,106290401,nan,nan,IRIS BUSINESS SERVICES LIMITED has informed the Exchange about Notice of Shareholders Meeting for Extra-ordinary Meeting to be held on 26-Jul-2025,nan,nan,nan,04-Jul-2025 20:42:30,00:00:01,6 KB
VAKRANGEE,Resignation,04072025204225,https://nsearchives.nseindia.com/corporate/VAKRANGEE_04072025204145_IntimationofresignationofIndependentDirector.pdf,Vakrangee Limited,INE051B01021,04-Jul-2025 20:42:25,2025-07-04 20:42:25,106290400,nan,nan,"Vakrangee Limited has informed the Exchange regarding Resignation of Mr Shiv Narain Kaushik as Non- Executive Independent Director of the company w.e.f. July 04, 2025.",nan,nan,nan,04-Jul-2025 20:42:26,00:00:01,765 KB
KEC,Giving guarantees/indemnity/ becoming a surety for third party,04072025204030,https://nsearchives.nseindia.com/corporate/KEC_04072025204008_SEIntimationCGissuance.pdf,KEC International Limited,INE389H01014,04-Jul-2025 20:40:30,2025-07-04 20:40:30,106290399,Transmission Towers,nan,KEC International Limited has informed the Exchange about issuance of Corporate guarantee on behalf of its subsidiary company.,nan,nan,nan,04-Jul-2025 20:40:32,00:00:02,238 KB
KSHITIJPOL,General Updates,04072025203523,https://nsearchives.nseindia.com/corporate/KSHITIJPOL_04072025203437_Corrigendum_SE_Intimation.pdf,Kshitij Polyline Limited,IN0000000000,04-Jul-2025 20:35:23,2025-07-04 20:35:23,106290398,nan,nan,"Corrigendum to the Postal Ballot Notice of Kshitij Polyline Limited circulated to shareholders on June 23, 2025",nan,nan,nan,04-Jul-2025 20:35:24,00:00:01,398 KB
CHOLAFIN,Board Meeting Intimation,04072025203501,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59093_1477596_04072025083500_WEB.xml,Cholamandalam Investment and Finance Company Limited,INE121A01016,04-Jul-2025 20:35:01,2025-07-04 20:35:01,106290397,Finance,nan,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED has informed the Exchange about Board Meeting to be held on 31-Jul-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .,nan,nan,nan,04-Jul-2025 20:35:02,00:00:01,2 KB
SUNPHARMA,Notice Of Shareholders Meetings-XBRL,04072025203308,https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1477592_04072025083307_WEB.xml,Sun Pharmaceutical Industries Limited,INE044A01028,04-Jul-2025 20:33:08,2025-07-04 20:33:08,106290395,Pharmaceuticals,nan,SUN PHARMACEUTICAL INDUSTRIES LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 31-Jul-2025,nan,nan,nan,04-Jul-2025 20:33:09,00:00:01,18 KB
HAVELLS,Board Meeting Intimation,04072025160817,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59056_1477327_04072025040817_WEB.xml,Havells India Limited,INE176B01018,04-Jul-2025 16:08:17,2025-07-04 16:08:17,106290048,Electrical Equipment,nan,HAVELLS INDIA LIMITED has informed the Exchange about Board Meeting to be held on 21-Jul-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2025 .,nan,nan,nan,04-Jul-2025 16:08:19,00:00:02,2 KB
ADVENZYMES,Incorporation-XBRL,04072025160723,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1477323_04072025040722_WEB.xml,Advanced Enzyme Technologies Limited,INE837H01012,04-Jul-2025 16:07:23,2025-07-04 16:07:23,106290047,nan,nan,ADVANCED ENZYME TECHNOLOGIES LIMITED has informed the Exchange regarding Incorporation,nan,nan,nan,04-Jul-2025 16:07:23,00:00:00,3 KB
ADVENZYMES,Incorporation,04072025160536,https://nsearchives.nseindia.com/corporate/AETL_04072025160522_Incorporation_of_Subsidiary.pdf,Advanced Enzyme Technologies Limited,INE837H01012,04-Jul-2025 16:05:36,2025-07-04 16:05:36,106290045,nan,nan,Advanced Enzyme Technologies Limited has informed the Exchange about Incorporation,nan,nan,nan,04-Jul-2025 16:05:36,00:00:00,546 KB
NELCAST,Copy of Newspaper Publication,04072025160524,https://nsearchives.nseindia.com/corporate/NELCAST1_04072025160502_04072025_AGMNotice_News_Advt_Signed.pdf,Nelcast Limited,INE189I01016,04-Jul-2025 16:05:24,2025-07-04 16:05:24,106290044,Castings/Forgings,nan,Nelcast Limited has informed the Exchange about Copy of Newspaper Publication,nan,nan,nan,04-Jul-2025 16:05:26,00:00:02,3.22 MB
ANSALAPI,Corporate Insolvency Resolution Process-XBRL,04072025160339,https://nsearchives.nseindia.com/corporate/xbrl/CIRP_1477322_04072025040338_WEB.xml,Ansal Properties & Infrastructure Limited,INE436A01026,04-Jul-2025 16:03:39,2025-07-04 16:03:39,106290043,Construction,nan,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED has informed the Exchange about Corporate Insolvency Resolution Process for the event related to Prior or Post-facto intimation of the meetings of Committee of Creditors,nan,nan,nan,04-Jul-2025 16:03:40,00:00:01,15 KB
WAAREERTL,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",04072025160325,https://nsearchives.nseindia.com/corporate/WAAREERTL_04072025160314_Regulation74_5_.pdf,Waaree Renewable Technologies Limited,INE299N01021,04-Jul-2025 16:03:25,2025-07-04 16:03:25,106290042,nan,nan,"Waaree Renewable Technologies Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,04-Jul-2025 16:03:26,00:00:01,1021 KB
TARIL,Reply to Clarification- Financial results,04072025160317,https://nsearchives.nseindia.com/corporate/TRIL_10062025135444_ClarificationXBRLConsolidated202425NSE.pdf,Transformers And Rectifiers (India) Limited,INE763I01026,04-Jul-2025 16:03:17,2025-07-04 16:03:17,106290041,nan,nan,"The Exchange had sought clarification from Transformers And Rectifiers (India) Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results submitted in XBRL with discrepancies The response of the Company is enclosed.",nan,nan,nan,04-Jul-2025 16:03:18,00:00:01,360 KB
OLECTRA,Change in Management,04072025160259,https://nsearchives.nseindia.com/corporate/OLECTRA_04072025160245_BM_OUTCOME_04072025.pdf,Olectra Greentech Limited,INE260D01016,04-Jul-2025 16:02:59,2025-07-04 16:02:59,106290040,nan,nan,Olectra Greentech Limited has informed the Exchange about change in Management,nan,nan,nan,04-Jul-2025 16:03:00,00:00:01,3.47 MB
INDIGO,Alteration Of Capital and Fund Raising-XBRL,04072025160244,https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1477320_04072025040243_WEB.xml,InterGlobe Aviation Limited,INE646L01027,04-Jul-2025 16:02:44,2025-07-04 16:02:44,106290039,nan,nan,INTERGLOBE AVIATION LIMITED has informed the Exchange regarding Allotment of Securities,nan,nan,nan,04-Jul-2025 16:02:45,00:00:01,4 KB
BSL,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",04072025160228,https://nsearchives.nseindia.com/corporate/BSL_04072025160216_BSL.pdf,BSL Limited,INE594B01012,04-Jul-2025 16:02:28,2025-07-04 16:02:28,106290038,Textile Products,nan,"BSL Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,04-Jul-2025 16:02:29,00:00:01,677 KB
MINDTECK,Alteration Of Capital and Fund Raising-XBRL,04072025160151,https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1477319_04072025040150_WEB.xml,Mindteck (India) Limited,INE110B01017,04-Jul-2025 16:01:51,2025-07-04 16:01:51,106290037,nan,nan,MINDTECK (INDIA) LIMITED has informed the Exchange regarding Allotment of Securities,nan,nan,nan,04-Jul-2025 16:01:52,00:00:01,4 KB
NDTV,General Updates,04072025160120,https://nsearchives.nseindia.com/corporate/NDTV_04072025155958_Disclosure_SCN_04072025.pdf,New Delhi Television Limited,INE155G01029,04-Jul-2025 16:01:20,2025-07-04 16:01:20,106290036,Media & Entertainment,nan,New Delhi Television Limited has informed the Exchange about the receipt of Show Cause Notice.,nan,nan,nan,04-Jul-2025 16:01:21,00:00:01,272 KB
MINDTECK,ESOP/ESOS/ESPS,04072025160112,https://nsearchives.nseindia.com/corporate/MINDTECK_04072025160059_10BSELetterAllotmentofsharesthroughESOP.pdf,Mindteck (India) Limited,INE110B01017,04-Jul-2025 16:01:12,2025-07-04 16:01:12,106290035,nan,nan,Mindteck (India) Limited has informed the Exchange regarding Exercise of 2000  Options.,nan,nan,nan,04-Jul-2025 16:01:13,00:00:01,277 KB
GLOBECIVIL,General Updates,04072025160111,https://nsearchives.nseindia.com/corporate/GLOBE2024_04072025155812_Regulation6.pdf,Globe Civil Projects Limited,INE0V3U01015,04-Jul-2025 16:01:11,2025-07-04 16:01:11,106290034,nan,nan,Intimation under Regulation 6(1) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations. 2015.,nan,nan,nan,04-Jul-2025 16:01:13,00:00:02,1.10 MB
GLOBECIVIL,General Updates,04072025160111,https://nsearchives.nseindia.com/corporate/GLOBE2024_04072025155604_REGULATION_30__5_.pdf,Globe Civil Projects Limited,INE0V3U01015,04-Jul-2025 16:01:11,2025-07-04 16:01:11,106290032,nan,nan,Intimation under Regulation 30(5) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements Regulations). 2015.,nan,nan,nan,04-Jul-2025 16:01:12,00:00:01,771 KB
GLOBECIVIL,General Updates,04072025160111,https://nsearchives.nseindia.com/corporate/GLOBE2024_04072025155714_Regulation_7_1_.pdf,Globe Civil Projects Limited,INE0V3U01015,04-Jul-2025 16:01:11,2025-07-04 16:01:11,106290033,nan,nan,Intimation under Regulation 7(1) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements Regulations) 2015.,nan,nan,nan,04-Jul-2025 16:01:13,00:00:02,614 KB
IDBI,General Updates,04072025160106,https://nsearchives.nseindia.com/corporate/MANESHJ_04072025160053_SE_ProvisionalResults_04072025.PDF,IDBI Bank Limited,INE008A01015,04-Jul-2025 16:01:06,2025-07-04 16:01:06,106290031,Banks,nan,"IDBI Bank Limited has informed the Exchange about Intimation under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",nan,nan,nan,04-Jul-2025 16:01:06,00:00:00,88 KB
OLECTRA,Cessation,04072025160037,https://nsearchives.nseindia.com/corporate/OLECTRA_04072025160008_BM_OUTCOME_04072025.pdf,Olectra Greentech Limited,INE260D01016,04-Jul-2025 16:00:37,2025-07-04 16:00:37,106290030,nan,nan,"Olectra Greentech Limited has informed the Exchange regarding Cessation of Mr K V Pradeep as Chairman & Managing Director of the company w.e.f. July 04, 2025.",nan,nan,nan,04-Jul-2025 16:00:37,00:00:00,3.47 MB
DABUR,Updates,04072025160015,https://nsearchives.nseindia.com/corporate/DABURIN_04072025155946_Quarterlyupdate.pdf,Dabur India Limited,INE016A01026,04-Jul-2025 16:00:15,2025-07-04 16:00:15,106290029,Personal Care,nan,Dabur India Limited has informed the Exchange regarding 'Quarterly Update - Q1 FY2025-26'.,nan,nan,nan,04-Jul-2025 16:00:16,00:00:01,194 KB
ANSALAPI,Corporate Insolvency Resolution Process,04072025160012,https://nsearchives.nseindia.com/corporate/ANSALAPI_04072025160003_Intimation_39th_COC_Meeting_FERNILL.pdf,Ansal Properties & Infrastructure Limited,INE436A01026,04-Jul-2025 16:00:12,2025-07-04 16:00:12,106290028,Construction,nan,"Ansal Properties & Infrastructure Limited has informed the stoc exchange that 39th meeting of committee of creditors for  Fernhill project  of Ansal Properties and Infrastructure Limited, situated at District Gurgaon, Haryana, is scheduled to be held on the 07th July, 2025.",nan,nan,nan,04-Jul-2025 16:00:13,00:00:01,1002 KB
NAHARPOLY,Updates,04072025160003,https://nsearchives.nseindia.com/corporate/NAHARPOLY_04072025155938_DEMATREPORTFORTHEMONTHOFJUNE2025POLY.pdf,Nahar Poly Films Limited,INE308A01027,04-Jul-2025 16:00:03,2025-07-04 16:00:03,106290027,Packaging,nan,"Nahar Poly Films Limited has informed the Exchange regarding 'DEMAT REPORT FOR THE MONTH OF JUNE, 2025'.",nan,nan,nan,04-Jul-2025 16:00:04,00:00:01,1.08 MB
ZENITHSTL,Reply to Clarification- Financial results,04072025155828,https://nsearchives.nseindia.com/corporate/ZENITHSTL_11062025150223_Financial_Result_-NSE_Dec24_New_digi.pdf,Zenith Steel Pipes & Industries Limited,INE318D01020,04-Jul-2025 15:58:28,2025-07-04 15:58:28,106290025,nan,nan,"The Exchange had sought clarification from Zenith Steel Pipes & Industries Limited for the quarter ended 31-Dec-2024 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results submitted is not as per format prescribed under Schedule III of the Companies Act, 2013. The response of the Company is enclosed.",nan,nan,nan,04-Jul-2025 15:58:29,00:00:01,486 KB
SKFINDIA,Analysts/Institutional Investor Meet/Con. Call Updates,04072025155655,https://nsearchives.nseindia.com/corporate/SKFINDIA23_04072025155632_NSE.pdf,SKF India Limited,INE640A01023,04-Jul-2025 15:56:55,2025-07-04 15:56:55,106290024,Bearings,nan,"Pursuant to Clause 15(b)(ii) of Schedule III, Part A, Para A read with Regulation 30 (2), Regulation 30(6)&Regulation 46(2)(oa)of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (as amended from time to time) ( SEBI LODR ) and SEBI Master Circular No. SEBI/HO/CFD/PoD2/CIR/P/0155 dated 11th November 2024, please find enclosed herewith the transcript of Analyst / Institutional Investor meeting held on Monday, 30th June 2025. The same will soon be uploaded on the website of the company for convenience of the shareholders. Audio Link is the aforesaid meeting is available on the company s website and same was intimated on 01st July 2025.",nan,nan,nan,04-Jul-2025 15:56:56,00:00:01,447 KB
HIRECT,General Updates,04072025155651,https://nsearchives.nseindia.com/corporate/HIRECT_04072025155640_AGMad2published04072025.pdf,Hind Rectifiers Limited,INE835D01023,04-Jul-2025 15:56:51,2025-07-04 15:56:51,106290023,Electronics - Industrial,nan,Hind Rectifiers Limited has informed the Exchange about General Updates (Newspaper Publication),nan,nan,nan,04-Jul-2025 15:56:52,00:00:01,8.08 MB
OLECTRA,Appointment,04072025155617,https://nsearchives.nseindia.com/corporate/OLECTRA_04072025155236_BM_OUTCOME_04072025.pdf,Olectra Greentech Limited,INE260D01016,04-Jul-2025 15:56:17,2025-07-04 15:56:17,106290021,nan,nan,"Olectra Greentech Limited has informed the Exchange regarding Appointment of Mr Puritipati Venkata  krishna Reddy  as Non- Executive Director of the company w.e.f. July 04, 2025.",nan,nan,nan,04-Jul-2025 15:56:17,00:00:00,3.47 MB
ENRIN,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",04072025155548,https://nsearchives.nseindia.com/corporate/ENRIN_04072025155515_ENRINReg7404072025signed.pdf,Siemens Energy India Limited,INE1NPP01017,04-Jul-2025 15:55:48,2025-07-04 15:55:48,106290020,nan,nan,"Siemens Energy India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,04-Jul-2025 15:55:49,00:00:01,360 KB
ALEMBICLTD,Notice Of Shareholders Meetings-XBRL,04072025155528,https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1477309_04072025035528_WEB.xml,Alembic Limited,INE426A01027,04-Jul-2025 15:55:28,2025-07-04 15:55:28,106290019,Pharmaceuticals,nan,Alembic Limited has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 12-Aug-2025,nan,nan,nan,04-Jul-2025 15:55:30,00:00:02,12 KB
ESAFSFB,General Updates,04072025155436,https://nsearchives.nseindia.com/corporate/esfb_04072025155353_SE_KeyBusinessFigures_30_June_2025.pdf,ESAF Small Finance Bank Limited,INE818W01011,04-Jul-2025 15:54:36,2025-07-04 15:54:36,106290018,nan,nan,"ESAF Small Finance Bank Limited has informed the Exchange about Key Business Updates for the quarter ended June 30, 2025.",nan,nan,nan,04-Jul-2025 15:54:37,00:00:01,2.76 MB
NAHARPOLY,Copy of Newspaper Publication,04072025155327,https://nsearchives.nseindia.com/corporate/NAHARPOLY_04072025155240_NEWSPAPERPUBLICATIONIEPF.pdf,Nahar Poly Films Limited,INE308A01027,04-Jul-2025 15:53:27,2025-07-04 15:53:27,106290016,Packaging,nan,Nahar Poly Films Limited has informed the Exchange about Copy of Newspaper Publication,nan,nan,nan,04-Jul-2025 15:53:28,00:00:01,4.89 MB
